log start @ 2021-08-16 00:53:48
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 271584 training_end 376704
training_ma_cross @ 2020-06-01 00:00:00 365.0 day
thread 0 training rand 114686 2019-01-03 05:10:00 profit 1.035
thread 0 training rand 134230 2019-03-12 01:50:00 profit 1.048
thread 0 training rand 157082 2019-05-30 10:10:00 profit 0.944
thread 0 training rand 187261 2019-09-12 05:05:00 profit 1.196
thread 0 training rand 218282 2019-12-28 22:10:00 profit 1.029
thread 0 training rand 260913 2020-05-24 22:45:00 profit 0.960
thread 0 training rand 3213 2017-12-12 03:45:00 profit 1.268
thread 0 training rand 51995 2018-05-30 12:55:00 profit 1.032
thread 0 training rand 76614 2018-08-24 00:30:00 profit 1.044
thread 0 training rand 98522 2018-11-08 02:10:00 profit 1.026
thread 0 training rand 116317 2019-01-08 21:05:00 profit 1.048
thread 0 training rand 132554 2019-03-06 06:10:00 profit 0.987
thread 0 training rand 164213 2019-06-24 04:25:00 profit 0.790
thread 0 training rand 185023 2019-09-04 10:35:00 profit 0.971
thread 0 training rand 216486 2019-12-22 16:30:00 profit 1.018
thread 0 training rand 243266 2020-03-24 16:10:00 profit 0.864
thread 0 training rand 17773 2018-01-31 17:05:00 profit 1.265
thread 0 training rand 32270 2018-03-23 01:10:00 profit 0.960
thread 0 training rand 54005 2018-06-06 12:25:00 profit 0.926
thread 0 training rand 81031 2018-09-08 08:35:00 profit 1.043
thread 0 training rand 121676 2019-01-27 11:40:00 profit 0.869
thread 0 training rand 144590 2019-04-17 01:10:00 profit 1.026
thread 0 training rand 159828 2019-06-08 23:00:00 profit 0.936
thread 0 training rand 191327 2019-09-26 07:55:00 profit 0.860
thread 0 training rand 212060 2019-12-07 07:40:00 profit 0.976
thread 0 training rand 242716 2020-03-22 18:20:00 profit 1.001
thread 0 training rand 4802 2017-12-17 16:10:00 profit 0.700
thread 0 training rand 30220 2018-03-15 22:20:00 profit 0.840
thread 0 training rand 56648 2018-06-15 16:40:00 profit 1.068
thread 0 training rand 80988 2018-09-08 05:00:00 profit 0.793
thread 0 training rand 106027 2018-12-04 03:35:00 profit 1.134
